SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-14PQA-0011-R1b-SM-6EU1G,,"B1, A1",,7.5,Brain,Brain - Hippocampus,0001954,1109.0,,BP-50193,RNA isolation_PAXgene Tissue miRNA,03/05/2014,LCSET-5452,07/22/2014,TruSeq.v1,RNASEQ,,0.992102,556535.0,0.958498,,0.993411,0.8265299999999999,,23431.0,1.0,,76.0,,0.00445943,201.0,0.0,79744900.0,0.041219900000000004,7032740.0,80273800.0,7614900.0,,23453.0,39723400.0,,,0.0,0.131968,0.993411,0.821084,79744900.0,0.00440001,17567700.0,22403700.0,17633800.0,254.0,17525600.0,8265200.0,0.00442976,17789000.0,50.3729,0.0876093,0.994719,,0.0,50.0938
GTEX-14PQA-0526-SM-7KUFS,1.0,B1,2 pieces,7.2,Muscle,Muscle - Skeletal,0011907,1177.0,832.0,BP-50487,RNA Extraction from Paxgene-derived Lysate Plate Based,03/13/2014,LCSET-6679,03/07/2015,TruSeq.v1,RNASEQ,,0.978107,312289.0,0.9822620000000001,,0.9868129999999999,0.871424,,20534.0,1.0,,76.0,,0.00358719,222.0,0.0,84348500.0,0.0175207,854221.0,85475700.0,7365820.0,,20547.0,41684000.0,,,0.0,0.11083699999999999,0.9868129999999999,0.859933,84348500.0,0.00443844,18660200.0,9653950.0,18737800.0,213.0,19054800.0,16357000.0,0.00400906,19023700.0,49.9592,0.00999373,0.995519,,0.0,50.1038
GTEX-14XAO-1126-SM-6EU11,1.0,B1,"2 pieces, subacute myocardial infarct, (~24-48 hours old), ~1 cm, ensquared",8.8,Heart,Heart - Left Ventricle,0006566,122.0,713.0,BP-49721,RNA Extraction from Paxgene-derived Lysate Plate Based,02/21/2014,LCSET-5452,07/22/2014,TruSeq.v1,RNASEQ,,0.9919049999999999,203511.0,0.983375,,0.9932620000000001,0.882806,,20773.0,1.0,,76.0,,0.00409333,203.0,0.0,87253800.0,0.016325700000000002,1510050.0,87845700.0,8989280.0,,20781.0,43483200.0,,,0.0,0.100569,0.9932620000000001,0.876857,87253800.0,0.00401467,19465500.0,8323800.0,19519700.0,235.0,19485900.0,18415200.0,0.00405405,19617300.0,50.168,0.017189799999999998,0.994618,,0.0,50.0695
GTEX-14XAO-1226-SM-6EU1C,0.0,B1,"6 pieces, minimal dermal fat, sqaumous epithelium is ~60 microns",7.6,Skin,Skin - Not Sun Exposed (Suprapubic),0036149,125.0,710.0,BP-49721,RNA Extraction from Paxgene-derived Lysate Plate Based,02/21/2014,LCSET-5452,07/22/2014,TruSeq.v1,RNASEQ,,0.991735,104895.0,0.9754370000000001,,0.99298,0.8171970000000001,,21640.0,1.0,,76.0,,0.00417955,128.0,0.0,62890200.0,0.024374200000000002,294142.0,63334800.0,6139530.0,,21657.0,31335900.0,,,0.0,0.15824000000000002,0.99298,0.8114600000000001,62890200.0,0.00417523,14055900.0,7440060.0,14115600.0,134.0,14072300.0,11682600.0,0.00417739,14177500.0,50.1861,0.00464424,0.994225,,0.0,50.1059
GTEX-15CHC-0008-SM-E9U4J,,B1,,9.8,Skin,Cells - Cultured fibroblasts,EFO_0002009,273.0,,BP-53400,RNA isolation_Trizol Manual (Cell Pellet),06/02/2014,LCSET-10742,04/16/2017,TruSeq.v1,RNASEQ,,0.9864809999999999,2076680.0,0.8505020000000001,,0.987625,0.70513,,19287.0,1.0,,76.0,,0.00131803,162.0,0.0,90416500.0,0.148552,471883.0,91549500.0,2995260.0,,19301.0,45055100.0,,,0.0,0.145372,0.987625,0.696404,90416500.0,0.00212688,17225000.0,142024000.0,18289500.0,159.0,18310900.0,19813000.0,0.00172199,17331600.0,48.6262,0.0051544,0.988768,,0.0,51.4986
GTEX-15CHC-0526-SM-6EU23,1.0,B1,"2 pieces; prominent sclerotic, partly calcified plaque; 1 piece has 50% adjacent myocardium and fibrofatty tissue [labeled]",6.8,Blood Vessel,Artery - Coronary,0001621,201.0,817.0,BP-51592,RNA Extraction from Paxgene-derived Lysate Plate Based,04/15/2014,LCSET-5452,07/22/2014,TruSeq.v1,RNASEQ,,0.989783,172434.0,0.9722879999999999,,0.99125,0.814118,,22870.0,1.0,,76.0,,0.00411989,155.0,0.0,76143100.0,0.0274117,515319.0,76815200.0,7804150.0,,22894.0,37889600.0,,,0.0,0.15817,0.99125,0.806995,76143100.0,0.00425062,16508900.0,6236770.0,16579300.0,168.0,16499600.0,13152100.0,0.00418515,16700700.0,50.3029,0.00670855,0.992717,,0.0,50.1064
GTEX-15CHQ-0011-R1a-SM-COH27,,"C1, A1",,7.2,Brain,Brain - Hippocampus,0001954,800.0,,BP-50313,RNA isolation_PAXgene Tissue miRNA,03/10/2014,LCSET-9414,08/03/2016,TruSeq.v1,RNASEQ,,0.992238,1081620.0,0.9375530000000001,,0.9935280000000001,0.80092,,24831.0,1.0,,76.0,,0.00383515,270.0,0.0,89942300.0,0.0621965,5964880.0,90528200.0,9684480.0,,24858.0,44818100.0,,,0.0,0.136633,0.9935280000000001,0.795737,89942300.0,0.00430098,19141700.0,38286200.0,19603100.0,304.0,19549800.0,8736410.0,0.00406776,19319200.0,49.7033,0.0658897,0.994818,,0.0,50.5954
GTEX-15CHR-0526-SM-79OLJ,1.0,B1,2 pieces; specimen is up to 70% fat and nerve,7.1,Blood Vessel,Artery - Coronary,0001621,192.0,1257.0,BP-56446,RNA Extraction from Paxgene-derived Lysate Plate Based,09/09/2014,"LCSET-6380,LCSET-6779",02/19/2015,TruSeq.v1,RNASEQ,,0.980798,163779.0,0.9748190000000001,,0.98435,0.839096,,22193.0,1.0,,76.0,,0.00454086,128.0,0.0,63140300.0,0.0248459,583702.0,64144100.0,13926600.0,,22207.0,31417600.0,,,0.0,0.135724,0.98435,0.8259639999999999,63140300.0,0.00570579,13671700.0,5339630.0,13781100.0,144.0,13809400.0,10987600.0,0.00512122,13849200.0,50.071999999999996,0.00909985,0.9879020000000001,,0.0,50.1991
GTEX-15D1Q-0006-SM-9KNTN,,C1,,7.9,Blood,Whole Blood,0013756,578.0,,BP-48441,RNA isolation_PAXgene Blood RNA (Manual),01/17/2014,LCSET-6806,05/12/2015,TruSeq.v1,RNASEQ,,0.990635,785608.0,0.953633,,0.9920459999999999,0.651096,,22626.0,1.0,,76.0,,0.0033296999999999997,165.0,0.0,99286300.0,0.0457906,450062.0,100082000.0,10801600.0,,22674.0,49414700.0,,,0.0,0.302537,0.9920459999999999,0.645917,99286300.0,0.00445813,21598600.0,28061100.0,21734900.0,183.0,21830100.0,13987600.0,0.00389311,21649100.0,49.7919,0.00449691,0.9934569999999999,,0.0,50.1573
GTEX-15DDE-0526-SM-6ETZQ,0.0,C1,"2 pieces, interstitial fat/vascular elements is ~10% total tissue",8.1,Muscle,Muscle - Skeletal,0011907,635.0,738.0,BP-49836,RNA Extraction from Paxgene-derived Lysate Plate Based,02/25/2014,LCSET-5452,07/22/2014,TruSeq.v1,RNASEQ,,0.9932200000000001,197398.0,0.9807969999999999,,0.9945290000000001,0.872625,,19717.0,1.0,,76.0,,0.00438882,134.0,0.0,79605700.0,0.0190093,2025960.0,80043700.0,7718640.0,,19726.0,39673500.0,,,0.0,0.108172,0.9945290000000001,0.86785,79605700.0,0.004379600000000001,17332700.0,8684920.0,17312500.0,165.0,17304700.0,16815300.0,0.00438422,17443000.0,50.199,0.0253107,0.9958370000000001,,0.0,49.9709
GTEX-15DYW-0006-SM-7RHFR,,C1,,7.5,Blood,Whole Blood,0013756,413.0,,BP-48663,RNA isolation_PAXgene Blood RNA (Manual),01/24/2014,LCSET-6760,04/19/2015,TruSeq.v1,RNASEQ,,0.9825360000000001,280363.0,0.9800979999999999,,0.985151,0.815418,,20251.0,1.0,,76.0,,0.00262905,157.0,0.0,90211700.0,0.019422099999999998,465272.0,91571500.0,9261210.0,,20264.0,44886400.0,,,0.0,0.16468,0.985151,0.8033100000000001,90211700.0,0.004359399999999999,20623100.0,72651100.0,20755600.0,177.0,20809100.0,19891900.0,0.00349193,20810500.0,50.0017,0.00508097,0.987766,,0.0,50.16
GTEX-15EO6-2326-SM-6LPKK,1.0,C1,"6 pieces target muscularis, trace adherent but completely autolyzed mucosa 'contaminants' present",6.2,Colon,Colon - Sigmoid,0001159,1431.0,764.0,BP-50487,RNA Extraction from Paxgene-derived Lysate Plate Based,03/13/2014,LCSET-5860,08/09/2014,TruSeq.v1,RNASEQ,,0.9910209999999999,94114.0,0.970046,,0.9932620000000001,0.777358,,22593.0,1.0,,76.0,,0.002719,123.0,0.0,60002900.0,0.029755599999999997,438249.0,60409900.0,9289290.0,,22610.0,29862500.0,,,0.0,0.192687,0.9932620000000001,0.77212,60002900.0,0.00372057,13053400.0,5876840.0,12990400.0,137.0,12952200.0,9434200.0,0.00321865,13220700.0,50.5129,0.00725458,0.995502,,0.0,49.879
GTEX-15ER7-0011-R7a-SM-6M46N,,"C1, A1",,9.2,Brain,Brain - Putamen (basal ganglia),0001874,1272.0,,BP-50568,RNA isolation_PAXgene Tissue miRNA,03/17/2014,LCSET-5861,08/08/2014,TruSeq.v1,RNASEQ,,0.9946530000000001,659392.0,0.955175,,0.996085,0.834508,,22608.0,1.0,,76.0,,0.00232532,267.0,0.0,75569200.0,0.044497699999999994,3816460.0,75866100.0,10214500.0,,22624.0,37677100.0,,,0.0,0.12066800000000001,0.996085,0.831241,75569200.0,0.00322146,16401300.0,26525300.0,16460500.0,265.0,16373300.0,8006690.0,0.00277274,16603000.0,50.3483,0.050305199999999994,0.997517,,0.0,50.09
GTEX-15ER7-0226-SM-7KUEU,0.0,C1,2 pieces; 1 piece includes ~10% fat and vessels,8.7,Muscle,Muscle - Skeletal,0011907,1363.0,1191.0,BP-51398,RNA Extraction from Paxgene-derived Lysate Plate Based,04/09/2014,LCSET-6679,03/07/2015,TruSeq.v1,RNASEQ,,0.9844200000000001,1015150.0,0.9846209999999999,,0.9906729999999999,0.8858219999999999,,22972.0,1.0,,76.0,,0.00273554,384.0,0.0,226086000.0,0.015046299999999999,2231470.0,228215000.0,19588600.0,,22996.0,112046000.0,,,0.0,0.0987989,0.9906729999999999,0.87756,226086000.0,0.00318309,48133000.0,27639900.0,48671000.0,350.0,49277600.0,51953100.0,0.0029579,48794200.0,49.7536,0.00977793,0.996926,,0.0,50.2779
GTEX-15ER7-0426-SM-6PAM3,0.0,C1,2 pieces,6.8,Adipose Tissue,Adipose - Subcutaneous,0002190,1368.0,1187.0,BP-51398,RNA Extraction from Paxgene-derived Lysate Plate Based,04/09/2014,"LCSET-5864,LCSET-5875",08/23/2014,TruSeq.v1,RNASEQ,,0.9785719999999999,182782.0,0.969232,,0.9865649999999999,0.772333,,24221.0,1.0,,76.0,,0.00332914,212.0,0.0,95253200.0,0.0304895,789162.0,96550300.0,11123300.0,,24257.0,47096600.0,,,0.0,0.196899,0.9865649999999999,0.761957,95253200.0,0.00587287,20663500.0,10149000.0,20686700.0,251.0,20961400.0,13069000.0,0.0045907,21113700.0,50.1811,0.00817359,0.994559,,0.0,50.028
GTEX-15ETS-0526-SM-6PAN3,1.0,B1,"2 pieces, no abnormalities",6.5,Thyroid,Thyroid,0002046,441.0,672.0,BP-50487,RNA Extraction from Paxgene-derived Lysate Plate Based,03/13/2014,"LCSET-5864,LCSET-5875",08/23/2014,TruSeq.v1,RNASEQ,,0.979506,240332.0,0.9649840000000001,,0.9870129999999999,0.736392,,25916.0,1.0,,76.0,,0.00336262,375.0,0.0,115598000.0,0.034754400000000005,580559.0,117119000.0,13556100.0,,25970.0,57171500.0,,,0.0,0.22859200000000002,0.9870129999999999,0.726829,115598000.0,0.00570612,25250800.0,11163000.0,25080100.0,337.0,25425800.0,16173200.0,0.00452546,25736800.0,50.303999999999995,0.00495701,0.9945209999999999,,0.0,49.8304
GTEX-15FZZ-0226-SM-6LLI4,1.0,B1,2 pieces; moderate lymphocytic (Hashimoto) thyroiditis; 1 piece has 40% fibrofatty external content,6.1,Thyroid,Thyroid,0002046,341.0,482.0,BP-50640,RNA Extraction from Paxgene-derived Lysate Plate Based,03/18/2014,LCSET-5859,08/02/2014,TruSeq.v1,RNASEQ,,0.9740850000000001,215301.0,0.963901,,0.9834450000000001,0.775732,,25292.0,1.0,,76.0,,0.00315788,160.0,0.0,80564900.0,0.0340902,454445.0,81921100.0,7065600.0,,25330.0,39717300.0,,,0.0,0.188169,0.9834450000000001,0.76289,80564900.0,0.0046576000000000005,17591100.0,14847500.0,17613000.0,196.0,17898300.0,10711600.0,0.0039006,18028400.0,50.181000000000004,0.00554735,0.9928040000000001,,0.0,50.0311
GTEX-15G1A-0008-SM-E76Q5,,B1,,9.8,Skin,Cells - Cultured fibroblasts,EFO_0002009,252.0,,BP-48908,RNA isolation_Trizol Manual (Cell Pellet),06/02/2014,LCSET-10515,03/31/2017,TruSeq.v1,RNASEQ,,0.9935799999999999,732563.0,0.981345,,0.995033,0.8576809999999999,,21260.0,1.0,,76.0,,0.00155027,289.0,0.0,116302000.0,0.0183468,343677.0,116883000.0,7243440.0,,21285.0,57939100.0,,,0.0,0.12366400000000001,0.995033,0.8534200000000001,116302000.0,0.00222028,26220000.0,12888400.0,26333500.0,304.0,26512400.0,31273400.0,0.00188478,26204400.0,49.7079,0.00294035,0.9964860000000001,,0.0,50.108000000000004
GTEX-15G1A-1826-SM-7KUKO,1.0,B1,"6 pieces, mucosa remarkably well preserved, 0.4mm, ~10% thickness",8.4,Colon,Colon - Transverse,0001157,108.0,1114.0,BP-51043,RNA Extraction from Paxgene-derived Lysate Plate Based,04/01/2014,LCSET-6678,03/07/2015,TruSeq.v1,RNASEQ,,0.9924430000000001,351391.0,0.9793940000000001,,0.9940700000000001,0.8537389999999999,,23494.0,1.0,,76.0,,0.00336464,283.0,0.0,111670000.0,0.020348599999999998,1036910.0,112337000.0,8392080.0,,23516.0,55620700.0,,,0.0,0.125655,0.9940700000000001,0.848676,111670000.0,0.00396936,24453200.0,11758900.0,24794700.0,323.0,24821600.0,21264100.0,0.00366651,24600000.0,49.7758,0.00923036,0.9956969999999999,,0.0,50.3468
GTEX-15RIF-0326-SM-7KUFR,1.0,B1,"2 pieces, no abnormalities",6.7,Thyroid,Thyroid,0002046,119.0,824.0,BP-50487,RNA Extraction from Paxgene-derived Lysate Plate Based,03/13/2014,"LCSET-6679,LCSET-7012",04/12/2015,TruSeq.v1,RNASEQ,,0.98674,206026.0,0.9776889999999999,,0.9910370000000001,0.885907,,21722.0,1.0,,76.0,,0.00218548,227.0,0.0,84872500.0,0.0220012,695425.0,85640100.0,5686480.0,,21733.0,42136700.0,,,0.0,0.0917821,0.9910370000000001,0.877967,84872500.0,0.00324772,18679700.0,10400200.0,18831500.0,244.0,18894900.0,18605200.0,0.0027143000000000002,18960500.0,50.0867,0.00812032,0.9953350000000001,,0.0,50.2023
GTEX-15RIF-2126-SM-7KUM8,0.0,B1,"2 pieces, trace interstitial fat, rep delineated",8.0,Muscle,Muscle - Skeletal,0011907,372.0,571.0,BP-50666,RNA Extraction from Paxgene-derived Lysate Plate Based,03/19/2014,LCSET-6678,03/07/2015,TruSeq.v1,RNASEQ,,0.992125,432288.0,0.984274,,0.9940100000000001,0.893552,,20965.0,1.0,,76.0,,0.00326171,291.0,0.0,123593000.0,0.015411500000000002,1880700.0,124337000.0,9092050.0,,20974.0,61544300.0,,,0.0,0.0907213,0.9940100000000001,0.8882,123593000.0,0.00385916,27268100.0,17311600.0,27752500.0,328.0,27779600.0,26700500.0,0.00355987,27442400.0,49.6947,0.0151257,0.9958959999999999,,0.0,50.4402
GTEX-15RIG-0226-SM-7KFTL,0.0,B1,"6 pieces, minimal adherent dermal fat; squamous epithelium is ~50 microns",7.3,Skin,Skin - Sun Exposed (Lower leg),0004264,500.0,846.0,BP-50487,RNA Extraction from Paxgene-derived Lysate Plate Based,03/13/2014,LCSET-6680,02/26/2015,TruSeq.v1,RNASEQ,,0.9893870000000001,219506.0,0.973033,,0.991167,0.809811,,23619.0,1.0,,76.0,,0.00280881,287.0,0.0,95240300.0,0.0267648,601111.0,96089000.0,7242610.0,,23648.0,47400100.0,,,0.0,0.163222,0.991167,0.802657,95240300.0,0.00311583,20739600.0,10262000.0,21071600.0,305.0,21042600.0,15699100.0,0.00296204,20931800.0,49.868,0.00625577,0.9929469999999999,,0.0,50.397
GTEX-15SB6-0926-SM-7KUFM,1.0,B1,6 pieces; well trimmed,6.5,Esophagus,Esophagus - Gastroesophageal Junction,0004550,528.0,763.0,BP-51304,RNA Extraction from Paxgene-derived Lysate Plate Based,04/08/2014,LCSET-6679,03/07/2015,TruSeq.v1,RNASEQ,,0.982057,590322.0,0.9777879999999999,,0.9884930000000001,0.8735360000000001,,22930.0,1.0,,76.0,,0.00278662,285.0,0.0,127374000.0,0.021872799999999998,531241.0,128857000.0,10930500.0,,22947.0,63097900.0,,,0.0,0.104252,0.9884930000000001,0.863484,127374000.0,0.00383403,26936600.0,10871600.0,27309300.0,321.0,27613100.0,27291400.0,0.00330692,27384900.0,49.7925,0.00412273,0.994928,,0.0,50.3435
GTEX-15SHU-0726-SM-7KUFI,1.0,C1,2 pieces; well dissected,7.4,Thyroid,Thyroid,0002046,1130.0,1190.0,BP-51304,RNA Extraction from Paxgene-derived Lysate Plate Based,04/08/2014,LCSET-6679,03/07/2015,TruSeq.v1,RNASEQ,,0.9902700000000001,255915.0,0.9646979999999999,,0.9929110000000001,0.7563350000000001,,24024.0,1.0,,76.0,,0.00317566,138.0,0.0,68784300.0,0.0350038,321696.0,69275400.0,6191460.0,,24054.0,34203900.0,,,0.0,0.208364,0.9929110000000001,0.750973,68784300.0,0.0031524,14918400.0,7823340.0,15095600.0,147.0,15176500.0,10974400.0,0.00316406,15010800.0,49.7254,0.00464372,0.9955510000000001,,0.0,50.2953
GTEX-15SHU-2526-SM-6M47D,3.0,C1,6 pieces; mucosa totally necrotic; muscle intact,6.0,Colon,Colon - Transverse,0001157,1174.0,1155.0,BP-50666,RNA Extraction from Paxgene-derived Lysate Plate Based,03/19/2014,LCSET-5861,08/08/2014,TruSeq.v1,RNASEQ,,0.9920709999999999,186148.0,0.9728680000000001,,0.9938899999999999,0.828735,,23234.0,1.0,,76.0,,0.00253411,162.0,0.0,71876000.0,0.0263495,653730.0,72317900.0,9030330.0,,23255.0,35780700.0,,,0.0,0.14413299999999998,0.9938899999999999,0.8236709999999999,71876000.0,0.00376328,15701400.0,8174670.0,15723100.0,183.0,15695500.0,11594200.0,0.00314757,15856800.0,50.2557,0.00903967,0.995708,,0.0,50.0345
GTEX-15SHU-3026-SM-6LPIB,2.0,C1,4 pieces,7.2,Brain,Brain - Cerebellum,0002037,1205.0,1126.0,BP-51043,RNA Extraction from Paxgene-derived Lysate Plate Based,04/01/2014,LCSET-5860,08/09/2014,TruSeq.v1,RNASEQ,,0.992144,164265.0,0.957092,,0.994151,0.747735,,23605.0,1.0,,76.0,,0.00272049,124.0,0.0,68422400.0,0.0425691,1297560.0,68825000.0,10586100.0,,23627.0,34067000.0,,,0.0,0.20935700000000002,0.994151,0.7433609999999999,68422400.0,0.003542,15012700.0,8705450.0,14912200.0,157.0,14942100.0,8743440.0,0.00313042,15106300.0,50.2731,0.018853,0.996158,,0.0,49.832
GTEX-15SHV-0826-SM-7KUFA,1.0,B1,6 pieces; flat plaques on 3 pieces; neurofatty stroma on 3 pieces up to 1.8 mm thick,8.0,Blood Vessel,Artery - Aorta,0001496,214.0,779.0,BP-50666,RNA Extraction from Paxgene-derived Lysate Plate Based,03/19/2014,LCSET-6679,03/07/2015,TruSeq.v1,RNASEQ,,0.9864229999999999,335736.0,0.9778459999999999,,0.991241,0.8609600000000001,,22415.0,1.0,,76.0,,0.00272989,277.0,0.0,92249100.0,0.0217197,235113.0,93064300.0,7711710.0,,22431.0,45778500.0,,,0.0,0.11688599999999999,0.991241,0.853418,92249100.0,0.00364698,19848600.0,6777650.0,20083300.0,258.0,20247400.0,19702400.0,0.00318621,20105300.0,49.824,0.00252635,0.996058,,0.0,50.2939
GTEX-15SKB-1626-SM-6PAL6,1.0,C1,"2 pieces, minimal fascia/vascular elements",7.0,Adipose Tissue,Adipose - Visceral (Omentum),0010414,571.0,966.0,BP-51043,RNA Extraction from Paxgene-derived Lysate Plate Based,04/01/2014,"LCSET-5864,LCSET-5875",08/23/2014,TruSeq.v1,RNASEQ,,0.977916,280859.0,0.9742620000000001,,0.9864040000000001,0.7876989999999999,,25116.0,1.0,,76.0,,0.00328073,378.0,0.0,121150000.0,0.0254036,622113.0,122820000.0,13326100.0,,25155.0,59884600.0,,,0.0,0.186563,0.9864040000000001,0.77699,121150000.0,0.00599297,26556800.0,13812400.0,26478900.0,352.0,26924900.0,21761800.0,0.00462518,27124800.0,50.185,0.00506524,0.994892,,0.0,49.9265
GTEX-15SKB-2826-SM-6PAMH,0.0,C1,"6 pieces, squamous epithelium is ~30-40 microns; minimal dermal fat",7.6,Skin,Skin - Not Sun Exposed (Suprapubic),0036149,612.0,931.0,BP-50666,RNA Extraction from Paxgene-derived Lysate Plate Based,03/19/2014,"LCSET-5864,LCSET-5875",08/23/2014,TruSeq.v1,RNASEQ,,0.980273,174090.0,0.9792860000000001,,0.987654,0.816841,,23163.0,1.0,,76.0,,0.00332624,191.0,0.0,86022600.0,0.0203672,670324.0,87097900.0,10385800.0,,23197.0,42570300.0,,,0.0,0.162446,0.987654,0.806756,86022600.0,0.00578248,18817500.0,9475470.0,18710000.0,191.0,18992100.0,16537200.0,0.00454518,19165600.0,50.2273,0.00769622,0.995035,,0.0,49.8567
GTEX-15UF6-2726-SM-7KULY,1.0,C1,6 pieces; muscle with focal submucosal elements,6.4,Colon,Colon - Sigmoid,0001159,621.0,1336.0,BP-50640,RNA Extraction from Paxgene-derived Lysate Plate Based,03/18/2014,LCSET-6678,03/07/2015,TruSeq.v1,RNASEQ,,0.990756,251351.0,0.972542,,0.99266,0.808044,,23133.0,1.0,,76.0,,0.00336107,165.0,0.0,78625500.0,0.0271847,806362.0,79206900.0,5735620.0,,23155.0,39111700.0,,,0.0,0.164499,0.99266,0.802113,78625500.0,0.00459159,16904400.0,7633860.0,17098000.0,177.0,17101000.0,14151400.0,0.00397515,17056400.0,49.9347,0.0101805,0.9945639999999999,,0.0,50.2847
GTEX-15UF7-0926-SM-6M46F,0.0,B1,6 pieces; includes few clusters of submucosal glands and lymphoid aggregates,9.6,Esophagus,Esophagus - Mucosa,0006920,296.0,1332.0,BP-51043,RNA Extraction from Paxgene-derived Lysate Plate Based,04/01/2014,LCSET-5861,08/08/2014,TruSeq.v1,RNASEQ,,0.9940000000000001,139151.0,0.9775159999999999,,0.995226,0.821089,,21831.0,1.0,,76.0,,0.00253642,148.0,0.0,71547500.0,0.0220758,498730.0,71890700.0,9943090.0,,21848.0,35675600.0,,,0.0,0.15642799999999998,0.995226,0.817168,71547500.0,0.00333376,16135500.0,10429800.0,16120800.0,159.0,16129500.0,14436900.0,0.0029346,16212200.0,50.1279,0.00693734,0.996451,,0.0,49.9772
GTEX-16A39-0008-SM-EAZC9,,B1,,10.0,Skin,Cells - Cultured fibroblasts,EFO_0002009,581.0,,BP-49843,RNA isolation_Trizol Manual (Cell Pellet),06/02/2014,LCSET-10518,05/03/2017,TruSeq.v1,RNASEQ,,0.9932989999999999,595287.0,0.981032,,0.9942770000000001,0.8587290000000001,,21416.0,1.0,,76.0,,0.00168109,293.0,0.0,110084000.0,0.0186345,366942.0,110718000.0,8040030.0,,21441.0,54873800.0,,,0.0,0.122303,0.9942770000000001,0.853814,110084000.0,0.00264104,24743700.0,11846500.0,24780200.0,279.0,24816000.0,29582100.0,0.00216059,24813500.0,49.9975,0.0033142,0.9952540000000001,,0.0,50.0369
GTEX-16AAH-2026-SM-7LG5F,0.0,B1,"2 pieces, ~incidental peripheral nerve embedded, delineated",6.3,Adipose Tissue,Adipose - Subcutaneous,0002190,259.0,374.0,BP-53009,RNA Extraction from Paxgene-derived Lysate Plate Based,05/20/2014,LCSET-6682,03/22/2015,TruSeq.v1,RNASEQ,,0.975324,468164.0,0.974081,,0.983073,0.798287,,24067.0,1.0,,76.0,,0.0035458,210.0,0.0,89047400.0,0.0256284,846425.0,90580700.0,13273300.0,,24098.0,43994500.0,,,0.0,0.175794,0.983073,0.784774,89047400.0,0.00581896,19275200.0,9759510.0,19499100.0,219.0,19830400.0,14589300.0,0.00467342,19590400.0,49.6957,0.00934443,0.990821,,0.0,50.2888
GTEX-16BQI-0526-SM-6PAM8,1.0,B1,2 pieces; prominent artery and nerves at edge of one piece; internal holes,6.8,Adipose Tissue,Adipose - Subcutaneous,0002190,715.0,782.0,BP-51398,RNA Extraction from Paxgene-derived Lysate Plate Based,04/09/2014,"LCSET-5864,LCSET-5875",08/23/2014,TruSeq.v1,RNASEQ,,0.979727,201531.0,0.9746309999999999,,0.987482,0.804164,,23861.0,1.0,,76.0,,0.00331603,216.0,0.0,95602700.0,0.025011099999999998,638790.0,96814600.0,11436400.0,,23892.0,47308000.0,,,0.0,0.170468,0.987482,0.794097,95602700.0,0.00585764,21001300.0,9429180.0,21009700.0,239.0,21333000.0,16305400.0,0.00457686,21397400.0,50.0754,0.00659808,0.995237,,0.0,50.01
GTEX-16MT8-0426-SM-7KUEY,0.0,C1,"6 pieces, trace adherent fat, squamous epithelium is ~30-40 microns",6.6,Skin,Skin - Sun Exposed (Lower leg),0004264,447.0,1220.0,BP-51398,RNA Extraction from Paxgene-derived Lysate Plate Based,04/09/2014,LCSET-6679,03/07/2015,TruSeq.v1,RNASEQ,,0.986274,274106.0,0.971981,,0.990491,0.797045,,24158.0,1.0,,76.0,,0.00327014,180.0,0.0,80508900.0,0.027806900000000002,703236.0,81281800.0,7770390.0,,24189.0,39952900.0,,,0.0,0.17493599999999998,0.990491,0.789466,80508900.0,0.00348146,17544700.0,8585710.0,17763800.0,191.0,17884700.0,13440300.0,0.00337535,17748600.0,49.809,0.00865182,0.994708,,0.0,50.3103
GTEX-16MTA-0008-SM-EAZC6,,B1,,10.0,Skin,Cells - Cultured fibroblasts,EFO_0002009,259.0,,BP-50059,RNA isolation_Trizol Manual (Cell Pellet),06/03/2014,LCSET-10518,05/03/2017,TruSeq.v1,RNASEQ,,0.993468,461906.0,0.981842,,0.994392,0.86374,,20899.0,1.0,,76.0,,0.00167544,286.0,0.0,100126000.0,0.0178199,239246.0,100690000.0,7482800.0,,20912.0,49918800.0,,,0.0,0.118102,0.994392,0.8588959999999999,100126000.0,0.002607,22571600.0,10563400.0,22627000.0,266.0,22650300.0,26990900.0,0.00214079,22639200.0,49.9877,0.00237605,0.995316,,0.0,50.0612
