Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
TCGA-E9-A227-01A-11R-A157-07,GTEX-T2IS-1526-SM-32QPR,,TCGA-D5-6929-01A-31R-1928-07,GTEX-145MO-2426-SM-5NQ9W,,TCGA-VQ-A8PU-01A-12R-A414-31,GTEX-13QBU-2026-SM-5KLZB,GTEX-OXRK-1626-SM-3NB17,,GTEX-145MO-2326-SM-5NQ9K,,,GTEX-T5JW-1326-SM-4DM5G,TCGA-KK-A8I5-01A-11R-A36G-07,GTEX-Q2AI-1126-SM-48U19,,,GTEX-U3ZH-0526-SM-3DB75,GTEX-145ME-1326-SM-5O98Q
TCGA-E2-A15T-01A-11R-A115-07,GTEX-XMD2-0926-SM-4WWEF,,TCGA-A6-5657-01A-01R-A32Z-07,GTEX-Q2AI-0926-SM-48U1F,,TCGA-VQ-A91V-01A-11R-A414-31,TCGA-HU-A4G3-11A-11R-A24K-31,GTEX-Y8E4-1526-SM-4WWDI,,TCGA-BC-A10Z-11A-11R-A131-07,,,GTEX-13QBU-1026-SM-5LU3R,TCGA-G9-6364-01A-21R-1789-07,GTEX-XPVG-2026-SM-4B65E,,,GTEX-QEG4-0526-SM-48TZD,GTEX-UPIC-1526-SM-4IHLU
TCGA-BH-A0BR-01A-21R-A115-07,GTEX-13113-1726-SM-5GCOO,,TCGA-CK-6751-01A-11R-1839-07,GTEX-11ZVC-2126-SM-5EGJ1,,TCGA-BR-7722-01A-31R-2203-13,GTEX-139D8-1426-SM-5IJEX,GTEX-139YR-1926-SM-5LZXM,,GTEX-WZTO-0626-SM-4PQYY,,,GTEX-WRHK-0526-SM-4MVOF,TCGA-KK-A6E2-01A-11R-A311-07,GTEX-14BMV-2326-SM-5RQJ4,,,GTEX-13OVJ-0726-SM-5KM1W,GTEX-ZLWG-1026-SM-4WWC4
TCGA-B6-A0RS-01A-11R-A084-07,GTEX-14AS3-1626-SM-5S2OY,,TCGA-D5-6931-01A-11R-1928-07,GTEX-13U4I-2626-SM-5SI9C,,TCGA-BR-6852-01A-11R-1884-13,GTEX-11ZTT-0926-SM-5EQMS,GTEX-14BMV-2226-SM-5RQHX,,GTEX-S33H-1626-SM-4AD68,,,GTEX-14E1K-1226-SM-5S2PD,TCGA-HC-7738-01A-11R-2118-07,GTEX-11WQK-2726-SM-5EQMU,,,GTEX-RTLS-0926-SM-2TF5X,GTEX-11EM3-1926-SM-5987U
TCGA-A8-A09D-01A-11R-A00Z-07,GTEX-ZPIC-1126-SM-5BC7F,,TCGA-CM-4751-01A-02R-1839-07,GTEX-YJ8A-1726-SM-5P9IQ,,,GTEX-ZYVF-2326-SM-5E44Z,GTEX-ZP4G-1226-SM-4WWCJ,,GTEX-ZPU1-0826-SM-57WG2,,,GTEX-ZZ64-0226-SM-5E44X,TCGA-FC-A5OB-01A-11R-A29R-07,GTEX-13OW8-0426-SM-5J2NR,,,GTEX-132NY-1226-SM-5PNVF,GTEX-POMQ-1226-SM-3P61F
,GTEX-XUZC-1626-SM-4BRVP,,TCGA-DM-A28F-01A-11R-A32Y-07,,,,GTEX-WYVS-0826-SM-4RTXB,GTEX-12WSD-2326-SM-59HKQ,,TCGA-DD-A1EI-11A-11R-A131-07,,,GTEX-U3ZN-1726-SM-4DXUQ,TCGA-EJ-5516-01A-01R-1580-07,GTEX-X5EB-1826-SM-4E3K8,,,GTEX-RM2N-0426-SM-2TF4T,GTEX-12ZZX-2126-SM-5LZVL
,GTEX-Y5V5-2126-SM-4WWFO,,TCGA-D5-6537-01A-11R-1723-07,,,,GTEX-XQ8I-1626-SM-4BOOI,GTEX-S7SF-0626-SM-4AD4V,,GTEX-1399T-0826-SM-5IFES,,,GTEX-Y5LM-1026-SM-4VDSQ,TCGA-J4-8198-01A-11R-2263-07,GTEX-RM2N-1126-SM-48FCY,,,GTEX-SIU8-0926-SM-5SI87,GTEX-1117F-2426-SM-5EGGH
,GTEX-133LE-1726-SM-5K7VQ,,TCGA-AU-3779-01A-01R-1723-07,,,,GTEX-ZYW4-1426-SM-5SIAX,GTEX-W5WG-1726-SM-4LMI5,,GTEX-ZYT6-0626-SM-5E45V,,,,,GTEX-OOBJ-2026-SM-3NB1R,,,GTEX-YB5E-0726-SM-4VDSH,GTEX-12WSG-2126-SM-5EGJ7
,GTEX-13W3W-1226-SM-5LU4H,,TCGA-NH-A8F7-01A-11R-A41B-07,,,,GTEX-132AR-2526-SM-5PNVM,TCGA-VQ-A927-01A-12R-A414-31,,GTEX-13113-1326-SM-5GCOI,,,,,GTEX-11O72-2726-SM-5HL6K,,,GTEX-14A6H-0526-SM-5NQAZ,GTEX-WI4N-2426-SM-4OOSC
,GTEX-ZC5H-2626-SM-5J2MG,,TCGA-A6-6141-01A-11R-1774-07,,,,GTEX-139TU-1326-SM-5LZXW,GTEX-111CU-0926-SM-5EGIK,,GTEX-RU72-1426-SM-46MUF,,,,,GTEX-ZTX8-1026-SM-5EGHD,,,GTEX-NPJ8-0326-SM-2D7VV,GTEX-13FTX-1026-SM-5J2O5
,GTEX-TML8-1226-SM-32QON,,TCGA-BR-4280-01A-01R-1131-13,,,,GTEX-ZYWO-0926-SM-5E43J,TCGA-JY-A939-01A-12R-A37I-31,,GTEX-OOBJ-0826-SM-3NB2K,,,,,GTEX-13RTJ-2126-SM-5S2PZ,,,GTEX-14ABY-1126-SM-5Q5F8,GTEX-WWYW-2826-SM-4MVOQ
,GTEX-T6MO-0326-SM-32QOK,,,,,,GTEX-ZZPU-1826-SM-5E43L,TCGA-L5-A4OF-11A-12R-A260-31,,GTEX-11ZTS-1426-SM-5EQMM,,,,,GTEX-WK11-2626-SM-4OOSK,,,GTEX-X4EO-0926-SM-3P5Z2,GTEX-11DXX-1526-SM-5H115
,GTEX-ZVT2-1826-SM-5NQ8W,,,,,,GTEX-Y8E4-1926-SM-4VBPW,GTEX-13O61-1226-SM-5KM21,,TCGA-DD-A3A5-11A-11R-A22L-07,,,,,GTEX-11OF3-1726-SM-5GU5Q,,,GTEX-ZZPU-0526-SM-5E44U,GTEX-PWN1-2026-SM-48TD9
,GTEX-131YS-0626-SM-5EGKL,,,,,,GTEX-XQ3S-1026-SM-4BOPJ,,,GTEX-S4Z8-0526-SM-4AD4T,,,,,GTEX-148VJ-1826-SM-5Q5DV,,,GTEX-X4LF-0526-SM-3NMB6,GTEX-S32W-1426-SM-4AD66
,GTEX-ZVZQ-0826-SM-51MRF,,,,,,GTEX-ZPCL-1226-SM-4WWFF,,,GTEX-T6MN-1226-SM-3NMA5,,,,,GTEX-13FXS-2826-SM-5LZYC,,,GTEX-QV44-0926-SM-2S1RH,GTEX-11I78-2126-SM-5A5K8
,GTEX-R53T-1526-SM-48FEK,,,,,,GTEX-Y3I4-0926-SM-4TT2B,,,GTEX-14AS3-0126-SM-5Q5F4,,,,,GTEX-146FQ-1726-SM-5QGPX,,,GTEX-13OW5-0726-SM-5KLZK,GTEX-YJ8O-1126-SM-5P9IS
,GTEX-S4UY-0726-SM-4AD6X,,,,,,GTEX-ZAK1-1826-SM-5HL93,,,TCGA-W5-AA34-11A-11R-A41I-07,,,,,GTEX-13FTW-1226-SM-5LZZ1,,,GTEX-WY7C-0426-SM-3NB3C,GTEX-13QBU-1626-SM-5LU4S
,GTEX-11P81-1926-SM-5BC53,,,,,,GTEX-13OVG-1026-SM-5KLZ3,,,GTEX-11OF3-0726-SM-5BC4Z,,,,,GTEX-QV44-1526-SM-4R1KI,,,GTEX-T6MO-0426-SM-32QOI,GTEX-P78B-2526-SM-3P5ZY
,TCGA-BH-A18K-11A-13R-A12D-07,,,,,,GTEX-ZF2S-1326-SM-4WWAZ,,,GTEX-ZVT3-1626-SM-5GU66,,,,,GTEX-14E6E-1126-SM-5S2R4,,,GTEX-13FTY-0126-SM-5J2NZ,GTEX-WEY5-0726-SM-4LMID
,TCGA-BH-A18Q-11A-34R-A12D-07,,,,,,GTEX-T6MO-0626-SM-4DM6P,,,,,,,,GTEX-132NY-2826-SM-5P9G2,,,GTEX-OXRL-0526-SM-2I3EZ,GTEX-PX3G-2026-SM-48U1H
,TCGA-A7-A13G-11A-51R-A13Q-07,,,,,,GTEX-1339X-1126-SM-5J2OI,,,,,,,,GTEX-XGQ4-1826-SM-4AT6F,,,GTEX-S341-0326-SM-2XCAU,GTEX-Y114-1826-SM-4TT87
,TCGA-BH-A0BT-11A-21R-A12P-07,,,,,,GTEX-14BIM-1226-SM-5SIBC,,,,,,,,GTEX-Y8E4-2126-SM-5RQHO,,,TCGA-55-8619-01A-11R-2403-07,GTEX-RU1J-1026-SM-46MUR
,TCGA-BH-A1F2-11A-32R-A13Q-07,,,,,,GTEX-14E7W-1926-SM-5S2R9,,,,,,,,TCGA-EJ-7791-01A-11R-2118-07,,,TCGA-97-7553-01A-21R-2039-07,GTEX-113JC-2226-SM-5EGJG
,TCGA-A7-A0DB-11A-33R-A089-07,,,,,,GTEX-U8XE-1826-SM-4E3HV,,,,,,,,GTEX-U3ZM-0926-SM-4DXSW,,,GTEX-XBED-0826-SM-47JYC,GTEX-13D11-1226-SM-5IFGA
,TCGA-E9-A1RB-11A-33R-A157-07,,,,,,GTEX-TKQ1-0426-SM-4DXT4,,,,,,,,GTEX-UTHO-2726-SM-4JBH9,,,TCGA-77-8008-11A-01R-2187-07,GTEX-13S7M-1726-SM-5RQK3
,,,,,,,GTEX-ZV7C-1326-SM-5BC7G,,,,,,,,GTEX-SJXC-2026-SM-4DM6N,,,TCGA-56-7730-11A-01R-2125-07,GTEX-131YS-2326-SM-5IJFJ
,,,,,,,GTEX-13YAN-2026-SM-5Q5EY,,,,,,,,GTEX-S95S-1026-SM-4B64M,,,,GTEX-RU72-2626-SM-4TT75
,,,,,,,GTEX-WRHK-0426-SM-4MVOG,,,,,,,,,,,,
,,,,,,,GTEX-13U4I-1326-SM-5KM25,,,,,,,,,,,,
,,,,,,,GTEX-XBED-0926-SM-48TCE,,,,,,,,,,,,
,,,,,,,GTEX-PLZ6-0626-SM-3P61B,,,,,,,,,,,,
,,,,,,,GTEX-WHPG-1626-SM-4M1ZL,,,,,,,,,,,,
,,,,,,,GTEX-Y5V5-1526-SM-4VBQ1,,,,,,,,,,,,
